scientific_name,bbl_common_name,bbl_alpha,bbl_french_name,bbl_threatened_endangered,genus
Gallinago gallinago,Common Snipe,COSN,Bécassine des marais,,Gallinago
Gallinago delicata,Wilson's Snipe,WISN,Bécassine de Wilson,,Gallinago
Gallinago stenura,Pin-tailed Snipe,PTSN,Bécassine à queue pointue,,Gallinago
Gallinago megala,Swinhoe's Snipe,SWSN,Bécassine de Swinhoe,,Gallinago
Limnodromus griseus,Short-billed Dowitcher,SBDO,Bécassin roux,,Limnodromus
Limnodromus scolopaceus,Long-billed Dowitcher,LBDO,Bécassin à long bec,,Limnodromus
Calidris himantopus,Stilt Sandpiper,STSA,Bécasseau à échasses,,Calidris
Calidris canutus,Red Knot,REKN,Bécasseau maubèche,British Columbia Yukon Territory Northwest Territories,Calidris
Calidris canutus rufa,Rufa Red Knot,RRKN,Bécasseau maubèche,Y,Calidris
Calidris maritima,Purple Sandpiper,PUSA,Bécasseau violet,,Calidris
Calidris ptilocnemis,Rock Sandpiper,ROSA,Bécasseau des Aléoutiennes,,Calidris
Calidris acuminata,Sharp-tailed Sandpiper,SHAS,Bécasseau à queue pointue,,Calidris
Calidris melanotos,Pectoral Sandpiper,PESA,Bécasseau à poitrine cendrée,,Calidris
Calidris fuscicollis,White-rumped Sandpiper,WRSA,Bécasseau à croupion blanc,,Calidris
Calidris bairdii,Baird's Sandpiper,BASA,Bécasseau de Baird,,Calidris
Calidris minuta,Little Stint,LIST,Bécasseau minute,,Calidris
Calidris minutilla,Least Sandpiper,LESA,Bécasseau minuscule,,Calidris
Calidris ruficollis,Red-necked Stint,RNST,Bécasseau à col roux,,Calidris
Calidris subminuta,Long-toed Stint,LTST,Bécasseau à longs doigts,,Calidris
Calidris alpina,Dunlin,DUNL,Bécasseau variable,,Calidris
Calidris ferruginea,Curlew Sandpiper,CUSA,Bécasseau cocorli,,Calidris
Calidris pygmea,Spoon-billed Sandpiper,SPOS,Bécasseau spatule,,Calidris
Calidris pusilla,Semipalmated Sandpiper,SESA,Bécasseau semipalmé,,Calidris
Calidris mauri,Western Sandpiper,WESA,Bécasseau d'Alaska,,Calidris
Calidris alba,Sanderling,SAND,Bécasseau sanderling,,Calidris
Limosa fedoa,Marbled Godwit,MAGO,Barge marbrée,,Limosa
Limosa lapponica,Bar-tailed Godwit,BARG,Barge rousse,,Limosa
Limosa haemastica,Hudsonian Godwit,HUGO,Barge hudsonienne,,Limosa
Limosa limosa,Black-tailed Godwit,BLAG,Barge à queue noire,,Limosa
Tringa nebularia,Common Greenshank,CGRE,Chevalier aboyeur,,Tringa
Tringa melanoleuca,Greater Yellowlegs,GRYE,Grand Chevalier,,Tringa
Tringa flavipes,Lesser Yellowlegs,LEYE,Petit Chevalier,,Tringa
Tringa solitaria,Solitary Sandpiper,SOSA,Chevalier solitaire,,Tringa
Tringa glareola,Wood Sandpiper,WOSA,Chevalier sylvain,,Tringa
Tringa stagnatilis,Marsh Sandpiper,MASA,Chevalier stagnatile,,Tringa
Tringa semipalmata,Willet,WILL,Chevalier semipalmé,,Tringa
Tringa incana,Wandering Tattler,WATA,Chevalier errant,,Tringa
Tringa brevipes,Gray-tailed Tattler,GTTA,Chevalier de Sibérie,,Tringa
Calidris pugnax,Ruff,RUFF,Combattant varié,,Calidris
Bartramia longicauda,Upland Sandpiper,UPSA,Maubèche des champs,,Bartramia
Calidris subruficollis,Buff-breasted Sandpiper,BBSA,Bécasseau roussâtre,,Calidris
Actitis macularius,Spotted Sandpiper,SPSA,Chevalier grivelé,,Actitis
Actitis hypoleucos,Common Sandpiper,COSA,Chevalier guignette,,Actitis
Numenius americanus,Long-billed Curlew,LBCU,Courlis à long bec,,Numenius
Numenius phaeopus,Whimbrel,WHIM,Courlis corlieu,,Numenius
Numenius tahitiensis,Bristle-thighed Curlew,BTCU,Courlis d'Alaska,,Numenius
Vanellus vanellus,Northern Lapwing,NOLA,Vanneau huppé,,Vanellus
Eudromias morinellus,Eurasian Dotterel,EUDO,Pluvier guignard,,Eudromias
Pluvialis squatarola,Black-bellied Plover,BBPL,Pluvier argenté,,Pluvialis
Pluvialis apricaria,European Golden-Plover,EUGP,Pluvier doré,,Pluvialis
Pluvialis dominica,American Golden-Plover,AMGP,Pluvier bronzé,,Pluvialis
Pluvialis fulva,Pacific Golden-Plover,PAGP,Pluvier fauve,,Pluvialis
Charadrius vociferus,Killdeer,KILL,Pluvier kildir,,Charadrius
Charadrius semipalmatus,Semipalmated Plover,SEPL,Pluvier semipalmé,,Charadrius
Charadrius hiaticula,Common Ringed Plover,CRPL,Pluvier grand-gravelot,,Charadrius
Charadrius melodus,Piping Plover,PIPL,Pluvier siffleur,Y,Charadrius
Anarhynchus nivosus,Snowy Plover,SNPL,Pluvier neigeux,,Anarhynchus
Anarhynchus nivosus nivosus,Western Snowy Plover,WSPL,,Y,Anarhynchus
Anarhynchus mongolus,Siberian Sand-Plover,SISP,Pluvier de Mongolie,,Anarhynchus
Anarhynchus wilsonia,Wilson's Plover,WIPL,Pluvier de Wilson,,Anarhynchus
Anarhynchus montanus,Mountain Plover,MOPL,Pluvier montagnard,Alberta Saskatchewan,Anarhynchus
Calidris virgata,Surfbird,SURF,Bécasseau du ressac,,Calidris
Arenaria interpres,Ruddy Turnstone,RUTU,Tournepierre à collier,,Arenaria
Arenaria melanocephala,Black Turnstone,BLTU,Tournepierre noir,,Arenaria
Haematopus palliatus,American Oystercatcher,AMOY,Huîtrier d'Amérique,,Haematopus
Haematopus bachmani,Black Oystercatcher,BLOY,Huîtrier de Bachman,,Haematopus
Jacana spinosa,Northern Jacana,NOJA,Jacana du Mexique,,Jacana
Patagioenas fasciata,Band-tailed Pigeon,BTPI,Pigeon à queue barrée,,Patagioenas
Patagioenas inornata,Plain Pigeon,PLPI,Pigeon simple,Y,Patagioenas
Patagioenas inornata wetmorei,Puerto Rican Plain Pigeon,PRPP,,Y,Patagioenas
Patagioenas flavirostris,Red-billed Pigeon,RBPI,Pigeon à bec rouge,,Patagioenas
Patagioenas leucocephala,White-crowned Pigeon,WCPI,Pigeon à couronne blanche,,Patagioenas
Patagioenas squamosa,Scaly-naped Pigeon,SNPI,Pigeon à cou rouge,,Patagioenas
Streptopelia chinensis,Spotted Dove,SPDO,Tourterelle tigrine,,Streptopelia
Streptopelia roseogrisea,African Collared-Dove,AFCD,Tourterelle rieuse,,Streptopelia
Geopelia striata,Zebra Dove,ZEBD,Géopélie zébrée,,Geopelia
Pampusana xanthonura,White-throated Ground Dove,WTGD,Gallicolombe pampusane,,Pampusana
Ptilinopus roseicapilla,Mariana Fruit Dove,MAFD,Ptilope des Mariannes,,Ptilinopus
Streptopelia bitorquata,Philippine Turtle-Dove,PHTD,Tourterelle des Philippines,,Streptopelia
Streptopelia decaocto,Eurasian Collared-Dove,ECDO,Tourterelle turque,,Streptopelia
Zenaida macroura,Mourning Dove,MODO,Tourterelle triste,,Zenaida
Zenaida auriculata,Eared Dove,EADO,Tourterelle oreillarde,,Zenaida
Zenaida aurita,Zenaida Dove,ZEND,Tourterelle à queue carrée,,Zenaida
Leptotila verreauxi,White-tipped Dove,WTDO,Colombe de Verreaux,,Leptotila
Leptotila jamaicensis,Caribbean Dove,CADO,Colombe de la Jamaïque,,Leptotila
Zenaida asiatica,White-winged Dove,WWDO,Tourterelle à ailes blanches,,Zenaida
Columbina passerina,Common Ground Dove,COGD,Colombe à queue noire,,Columbina
Columbina talpacoti,Ruddy Ground Dove,RUGD,Colombe rousse,,Columbina
Columbina inca,Inca Dove,INDO,Colombe inca,,Columbina
Geotrygon chrysia,Key West Quail-Dove,KWQD,Colombe à joues blanches,,Geotrygon
Geotrygon montana,Ruddy Quail-Dove,RUQD,Colombe rouviolette,,Geotrygon
Geotrygon mystacea,Bridled Quail-Dove,BRQD,Colombe à croissants,,Geotrygon
Gymnogyps californianus,California Condor,CALC,Condor de Californie,Y,Gymnogyps
Cathartes aura,Turkey Vulture,TUVU,Urubu à tête rouge,,Cathartes
Coragyps atratus,Black Vulture,BLVU,Urubu noir,,Coragyps
Elanoides forficatus,Swallow-tailed Kite,STKI,Milan à queue fourchue,,Elanoides
Chondrohierax uncinatus,Hook-billed Kite,HBKI,Milan bec-en-croc,,Chondrohierax
Elanus leucurus,White-tailed Kite,WTKI,Élanion à queue blanche,,Elanus
Ictinia mississippiensis,Mississippi Kite,MIKI,Milan du Mississippi,,Ictinia
Rostrhamus sociabilis,Snail Kite,SNKI,Milan des marais,Y,Rostrhamus
Circus hudsonius,Northern Harrier,NOHA,Busard Saint-Martin,,Circus
Accipiter striatus,Sharp-shinned Hawk,SSHA,Épervier brun,,Accipiter
Accipiter striatus venator,Puerto Rican Sharp-shinned Hawk,PSSH,Épervier brun (venator),Y,Accipiter
Accipiter cooperii,Cooper's Hawk,COHA,Épervier de Cooper,,Accipiter
Accipiter atricapillus,American Goshawk,AGOS,Autour d’Amérique,British Columbia,Accipiter
Parabuteo unicinctus,Harris's Hawk,HRSH,Buse de Harris,,Parabuteo
Buteo jamaicensis,Red-tailed Hawk,RTHA,Buse à queue rousse,,Buteo
Buteo jamaicensis harlani,Harlan's Hawk,HRLH,Buse de Harlan,,Buteo
Buteo lineatus,Red-shouldered Hawk,RSHA,Buse à épaulettes,,Buteo
Buteo albonotatus,Zone-tailed Hawk,ZTHA,Buse à queue barrée,,Buteo
Geranoaetus albicaudatus,White-tailed Hawk,WTHA,Buse à queue blanche,,Geranoaetus
Buteo swainsoni,Swainson's Hawk,SWHA,Buse de Swainson,,Buteo
Buteo platypterus,Broad-winged Hawk,BWHA,Petite Buse,,Buteo
Rupornis magnirostris,Roadside Hawk,ROHA,Buse à gros bec,,Rupornis
Buteo platypterus brunnescens,Puerto Rican Broad-winged Hawk,PBWH,Petite Buse (Porto Rico),Y,Buteo
Buteo brachyurus,Short-tailed Hawk,STHA,Buse à queue courte,,Buteo
Buteo solitarius,Hawaiian Hawk,HWHA,Buse d'Hawaï,Y,Buteo
Buteogallus anthracinus,Common Black Hawk,CBHA,Buse noire,,Buteogallus
Buteo plagiatus,Gray Hawk,GRHA,Buse cendrée,,Buteo
Buteo lagopus,Rough-legged Hawk,RLHA,Buse pattue,,Buteo
Buteo regalis,Ferruginous Hawk,FEHA,Buse rouilleuse,Alberta Manitoba Saskatchewan,Buteo
Aquila chrysaetos,Golden Eagle,GOEA,Aigle royal,,Aquila
Haliaeetus leucocephalus,Bald Eagle,BAEA,Pygargue à tête blanche,,Haliaeetus
Falco rusticolus,Gyrfalcon,GYRF,Faucon gerfaut,,Falco
Falco mexicanus,Prairie Falcon,PRFA,Faucon des prairies,,Falco
Falco peregrinus,Peregrine Falcon,PEFA,Faucon pèlerin,,Falco
Falco columbarius,Merlin,MERL,Faucon émerillon,,Falco
Falco femoralis,Aplomado Falcon,APFA,Faucon aplomado,Y,Falco
Falco tinnunculus,Eurasian Kestrel,EUKE,Faucon crécerelle,,Falco
Falco sparverius,American Kestrel,AMKE,Crécerelle d'Amérique,,Falco
Caracara plancus,Crested Caracara,CRCA,Caracara du Nord,,Caracara
Caracara plancus audubonii,Audubon's Crested Caracara,ACCA,,Y,Caracara
Pandion haliaetus,Osprey,OSPR,Balbuzard pêcheur,,Pandion
Tyto furcata,American Barn Owl,ABOW,Effraie d'Amérique,British Columbia Ontario Québec,Tyto
Tyto glaucops,Ashy-faced Owl,AFOW,Effraie d'Hispaniola,,Tyto
Asio otus,Long-eared Owl,LEOW,Hibou moyen-duc,,Asio
Asio flammeus,Short-eared Owl,SEOW,Hibou des marais,,Asio
Strix varia,Barred Owl,BAOW,Chouette rayée,,Strix
Strix occidentalis,Unspecified Spotted Owl,USOW,Chouette tachetée,British Columbia,Strix
Strix occidentalis occidentalis,California Spotted Owl,CSOW,Chouette tachetée (Californie),,Strix
Strix occidentalis caurina,Northern Spotted Owl,NSOW,Chouette tachetée de la sous-espèce caurina,Y,Strix
Strix occidentalis lucida,Mexican Spotted Owl,MSOW,,Y,Strix
Strix nebulosa,Great Gray Owl,GGOW,Chouette lapone,,Strix
Aegolius funereus,Boreal Owl,BOOW,Nyctale de Tengmalm,,Aegolius
Aegolius acadicus,Northern Saw-whet Owl,NSWO,Petite Nyctale,British Columbia,Aegolius
Megascops asio,Eastern Screech-Owl,EASO,Petit-duc maculé,,Megascops
Megascops trichopsis,Whiskered Screech-Owl,WHSO,Petit-duc à moustaches,,Megascops
Megascops kennicottii,Western Screech-Owl,WESO,Petit-duc des montagnes,British Columbia,Megascops
Gymnasio nudipes,Puerto Rican Owl,PURO,Petit-duc de Porto Rico,,Gymnasio
Psiloscops flammeolus,Flammulated Owl,FLOW,Petit-duc nain,,Psiloscops
Bubo virginianus,Great Horned Owl,GHOW,Grand-duc d'Amérique,,Bubo
Bubo scandiacus,Snowy Owl,SNOW,Harfang des neiges,,Bubo
Surnia ulula,Northern Hawk Owl,NHOW,Épervière boréale,,Surnia
Athene cunicularia,Burrowing Owl,BUOW,Chevêche des terriers,Alberta British Columbia Manitoba Saskatchewan,Athene
Glaucidium gnoma,Northern Pygmy-Owl,NOPO,Chevêchette naine,,Glaucidium
Glaucidium brasilianum,Ferruginous Pygmy-Owl,FEPO,Chevêchette brune,Y,Glaucidium
Micrathene whitneyi,Elf Owl,ELOW,Chevêchette des saguaros,,Micrathene
Aratinga nenday,Nanday Parakeet,NAPA,Conure Nanday,,Aratinga
Psittacara chloropterus,Hispaniolan Parakeet,HPKT,Conure maîtresse,,Psittacara
Eupsittula canicularis,Orange-fronted Parakeet,OFPA,Conure à front rouge,,Eupsittula
Eupsittula pertinax,Brown-throated Parakeet,BTPA,Conure cuivrée,,Eupsittula
Vini australis,Blue-crowned Lorikeet,BCLO,Lori fringillaire,,Vini
Psittacara holochlorus,Green Parakeet,GREP,Conure verte,,Psittacara
Psittacara mitratus,Mitred Parakeet,MIPA,Conure mitrée,,Psittacara
Brotogeris versicolurus,White-winged Parakeet,WWPA,Toui à ailes variées,,Brotogeris
Brotogeris chiriri,Yellow-chevroned Parakeet,YCPA,Toui à ailes jaunes,,Brotogeris
Rhynchopsitta pachyrhyncha,Thick-billed Parrot,TBPA,Conure à gros bec,Y,Rhynchopsitta
Psittacula krameri,Rose-ringed Parakeet,RRPA,Perruche à collier,,Psittacula
Agapornis roseicollis,Rosy-faced Lovebird,RFLO,Inséparable rosegorge,,Agapornis
Myiopsitta monachus,Monk Parakeet,MOPA,Conure veuve,,Myiopsitta
Psittacara erythrogenys,Red-masked Parakeet,RMPA,Conure à tête rouge,,Psittacara
Amazona viridigenalis,Red-crowned Parrot,RCPA,Amazone à joues vertes,,Amazona
Amazona ventralis,Hispaniolan Parrot,HPRT,Amazone d'Hispaniola,,Amazona
Amazona vittata,Puerto Rican Parrot,PRPA,Amazone de Porto Rico,Y,Amazona
Amazona amazonica,Orange-winged Amazon,OWAM,Amazona amazonica,,Amazona
Crotophaga ani,Smooth-billed Ani,SBAN,Ani à bec lisse,,Crotophaga
Crotophaga sulcirostris,Groove-billed Ani,GBAN,Ani à bec cannelé,,Crotophaga
Geococcyx californianus,Greater Roadrunner,GRRO,Grand Géocoucou,,Geococcyx
Coccyzus vieilloti,Puerto Rican Lizard-Cuckoo,PRLC,Tacco de Porto Rico,,Coccyzus
Coccyzus minor,Mangrove Cuckoo,MACU,Coulicou manioc,,Coccyzus
Coccyzus americanus,Yellow-billed Cuckoo,YBCU,Coulicou à bec jaune,,Coccyzus
Coccyzus americanus,Western Yellow-billed Cuckoo,WYBC,,Y,Coccyzus
Coccyzus erythropthalmus,Black-billed Cuckoo,BBCU,Coulicou à bec noir,,Coccyzus
Trogon elegans,Elegant Trogon,ELTR,Trogon élégant,,Trogon
Euptilotis neoxenus,Eared Quetzal,EAQU,Quetzal oreillard,,Euptilotis
Megaceryle alcyon,Belted Kingfisher,BEKI,Martin-pêcheur d'Amérique,,Megaceryle
Megaceryle torquata,Ringed Kingfisher,RIKI,Martin-pêcheur à ventre roux,,Megaceryle
Chloroceryle americana,Green Kingfisher,GKIN,Martin-pêcheur vert,,Chloroceryle
Todus mexicanus,Puerto Rican Tody,PRTO,Todier de Porto Rico,,Todus
Campephilus principalis,Ivory-billed Woodpecker,IBWO,Pic à bec ivoire,Y,Campephilus
Dryobates villosus,Hairy Woodpecker,HAWO,Pic chevelu,,Dryobates
Dryobates pubescens,Downy Woodpecker,DOWO,Pic mineur,,Dryobates
Dryobates borealis,Red-cockaded Woodpecker,RCWO,Pic à face blanche,Y,Dryobates
Dryobates scalaris,Ladder-backed Woodpecker,LBWO,Pic arlequin,,Dryobates
Dryobates nuttallii,Nuttall's Woodpecker,NUWO,Pic de Nuttall,,Dryobates
Dryobates arizonae,Arizona Woodpecker,ARWO,Pic de Strickland,,Dryobates
Picoides albolarvatus,White-headed Woodpecker,WHWO,Pic à tête blanche,British Columbia,Picoides
Picoides arcticus,Black-backed Woodpecker,BBWO,Pic à dos noir,,Picoides
Picoides dorsalis,American Three-toed Woodpecker,ATTW,Pic à dos rayé,,Picoides
Sphyrapicus varius,Yellow-bellied Sapsucker,YBSA,Pic maculé,,Sphyrapicus
Sphyrapicus nuchalis,Red-naped Sapsucker,RNSA,Pic à nuque rouge,,Sphyrapicus
Sphyrapicus ruber,Red-breasted Sapsucker,RBSA,Pic à poitrine rouge,,Sphyrapicus
Sphyrapicus thyroideus,Williamson's Sapsucker,WISA,Pic de Williamson,British Columbia,Sphyrapicus
Dryocopus pileatus,Pileated Woodpecker,PIWO,Grand Pic,,Dryocopus
Melanerpes erythrocephalus,Red-headed Woodpecker,RHWO,Pic à tête rouge,Manitoba Ontario Québec Saskatchewan,Melanerpes
Melanerpes formicivorus,Acorn Woodpecker,ACWO,Pic glandivore,,Melanerpes
Melanerpes portoricensis,Puerto Rican Woodpecker,PRWO,Pic de Porto Rico,,Melanerpes
Melanerpes lewis,Lewis's Woodpecker,LEWO,Pic de Lewis,British Columbia,Melanerpes
Melanerpes carolinus,Red-bellied Woodpecker,RBWO,Pic à ventre roux,,Melanerpes
Melanerpes superciliaris,West Indian Woodpecker,WIWO,Pic à sourcils noirs,,Melanerpes
Melanerpes aurifrons,Golden-fronted Woodpecker,GFWO,Pic à front doré,,Melanerpes
Melanerpes uropygialis,Gila Woodpecker,GIWO,Pic des saguaros,,Melanerpes
Colaptes auratus auratus,Yellow-shafted Flicker,YSFL,Pic doré,,Colaptes
Colaptes auratus,Flicker Intergrade,FLIN,Pic intermédiaire,,Colaptes
Colaptes auratus,Unspecified Northern Flicker,UNFL,Pic Colaptes non spécifié,,Colaptes
Colaptes auratus cafer,Red-shafted Flicker,RSFL,Pic rosé,,Colaptes
Colaptes chrysoides,Gilded Flicker,GIFL,Pic chrysoïde,,Colaptes
Antrostomus carolinensis,Chuck-will's-widow,CWWI,Engoulevent de Caroline,,Antrostomus
Antrostomus ridgwayi,Buff-collared Nightjar,BCNI,Engoulevent de Ridgway,,Antrostomus
Antrostomus vociferus,Eastern Whip-poor-will,EWPW,Engoulevent bois-pourri,Manitoba New Brunswick Nova Scotia Ontario Québec Saskatchewan,Antrostomus
Antrostomus noctitherus,Puerto Rican Nightjar,PRNI,Engoulevent de Porto Rico,Y,Antrostomus
Antrostomus arizonae,Mexican Whip-poor-will,MWPW,Engoulevent d'Arizona,,Antrostomus
Phalaenoptilus nuttallii,Common Poorwill,COPO,Engoulevent de Nuttall,,Phalaenoptilus
Nyctidromus albicollis,Common Pauraque,COPA,Engoulevent pauraqué,,Nyctidromus
Chordeiles minor,Common Nighthawk,CONI,Engoulevent d'Amérique,Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Nova Scotia Ontario Prince Edward Island Québec Saskatchewan Yukon Territory Northwest Territories Nunavut,Chordeiles
Chordeiles gundlachii,Antillean Nighthawk,ANNI,Engoulevent piramidig,,Chordeiles
Chordeiles acutipennis,Lesser Nighthawk,LENI,Engoulevent minime,,Chordeiles
Cypseloides niger,Black Swift,BLSW,Martinet sombre,Alberta British Columbia,Cypseloides
Chaetura pelagica,Chimney Swift,CHSW,Martinet ramoneur,Manitoba New Brunswick Nova Scotia Ontario Québec Saskatchewan,Chaetura
Chaetura brachyura,Short-tailed Swift,STSW,Martinet polioure,,Chaetura
Chaetura vauxi,Vaux's Swift,VASW,Martinet de Vaux,,Chaetura
Aeronautes saxatalis,White-throated Swift,WTSW,Martinet à gorge blanche,,Aeronautes
Eugenes fulgens,Rivoli's Hummingbird,RIHU,Colibri de Rivoli,,Eugenes
Heliomaster constantii,Plain-capped Starthroat,PCST,Colibri de Constant,,Heliomaster
Lampornis clemenciae,Blue-throated Mountain-gem,BTMG,Colibri à gorge bleue,,Lampornis
Colibri thalassinus,Mexican Violetear,MEVI,Colibri thalassin,,Colibri
Archilochus colubris,Ruby-throated Hummingbird,RTHU,Colibri à gorge rubis,,Archilochus
Archilochus alexandri,Black-chinned Hummingbird,BCHU,Colibri à gorge noire,,Archilochus
Calypte costae,Costa's Hummingbird,COHU,Colibri de Costa,,Calypte
Calypte anna,Anna's Hummingbird,ANHU,Colibri d'Anna,,Calypte
Selasphorus platycercus,Broad-tailed Hummingbird,BTHU,Colibri à queue large,,Selasphorus
Selasphorus rufus,Rufous Hummingbird,RUHU,Colibri roux,,Selasphorus
Selasphorus sasin,Allen's Hummingbird,ALHU,Colibri d'Allen,,Selasphorus
Selasphorus heloisa,Bumblebee Hummingbird,BUHU,Colibri héloïse,,Selasphorus
Selasphorus calliope,Calliope Hummingbird,CAHU,Colibri calliope,,Selasphorus
Anthracothorax mango,Jamaican Mango,JAMA,Mango de la Jamaïque,,Anthracothorax
Anthracothorax viridis,Green Mango,GRMA,Mango vert,,Anthracothorax
Eulampis holosericeus,Green-throated Carib,GTCA,Colibri falle-vert,,Eulampis
Orthorhyncus cristatus,Antillean Crested Hummingbird,ACHU,Colibri huppé,,Orthorhyncus
Anthracothorax prevostii,Green-breasted Mango,GREM,Mango de Prévost,,Anthracothorax
Calothorax lucifer,Lucifer Hummingbird,LUHU,Colibri lucifer,,Calothorax
Nesophlox evelynae,Bahama Woodstar,BAWO,Colibri des Bahamas,,Nesophlox
Amazilia tzacatl,Rufous-tailed Hummingbird,RUFH,Ariane à ventre gris,,Amazilia
Saucerottia beryllina,Berylline Hummingbird,BEHU,Ariane béryl,,Saucerottia
Amazilia yucatanensis,Buff-bellied Hummingbird,BUFH,Ariane du Yucatan,,Amazilia
Ramosomyia violiceps,Violet-crowned Hummingbird,VCHU,Ariane à couronne violette,,Ramosomyia
Basilinna leucotis,White-eared Hummingbird,WEHU,Saphir à oreilles blanches,,Basilinna
Chlorostilbon maugaeus,Puerto Rican Emerald,PREM,Émeraude de Porto Rico,,Chlorostilbon
Cynanthus latirostris,Broad-billed Hummingbird,BBLH,Colibri circé,,Cynanthus
Pachyramphus aglaiae,Rose-throated Becard,RTBE,Bécarde à gorge rose,,Pachyramphus
Tyrannus savana,Fork-tailed Flycatcher,FTFL,Tyran des savanes,,Tyrannus
Tyrannus forficatus,Scissor-tailed Flycatcher,STFL,Tyran à longue queue,,Tyrannus
Tyrannus tyrannus,Eastern Kingbird,EAKI,Tyran tritri,,Tyrannus
Tyrannus dominicensis,Gray Kingbird,GRAK,Tyran gris,,Tyrannus
Tyrannus crassirostris,Thick-billed Kingbird,TBKI,Tyran à bec épais,,Tyrannus
Tyrannus caudifasciatus,Loggerhead Kingbird,LOKI,Tyran tête-police,,Tyrannus
Tyrannus melancholicus,Tropical Kingbird,TRKI,Tyran mélancolique,,Tyrannus
Tyrannus couchii,Couch's Kingbird,COKI,Tyran de Couch,,Tyrannus
Tyrannus verticalis,Western Kingbird,WEKI,Tyran de l'Ouest,,Tyrannus
Tyrannus vociferans,Cassin's Kingbird,CAKI,Tyran de Cassin,,Tyrannus
Pitangus sulphuratus,Great Kiskadee,GKIS,Tyran quiquivi,,Pitangus
Myiodynastes luteiventris,Sulphur-bellied Flycatcher,SBFL,Tyran tigré,,Myiodynastes
Myiarchus crinitus,Great Crested Flycatcher,GCFL,Tyran huppé,,Myiarchus
Myiarchus tyrannulus,Brown-crested Flycatcher,BCFL,Tyran de Wied,,Myiarchus
Myiarchus nuttingi,Nutting's Flycatcher,NUFL,Tyran de Nutting,,Myiarchus
Myiarchus cinerascens,Ash-throated Flycatcher,ATFL,Tyran à gorge cendrée,,Myiarchus
Myiarchus tuberculifer,Dusky-capped Flycatcher,DCFL,Tyran olivâtre,,Myiarchus
Myiarchus sagrae,La Sagra's Flycatcher,LSFL,Tyran de La Sagra,,Myiarchus
Myiarchus antillarum,Puerto Rican Flycatcher,PRFL,Tyran de Porto Rico,,Myiarchus
Myiarchus stolidus,Stolid Flycatcher,STOF,Tyran grosse-tête,,Myiarchus
Myiarchus oberi,Lesser Antillean Flycatcher,LESF,Tyran janeau,,Myiarchus
Sayornis phoebe,Eastern Phoebe,EAPH,Moucherolle phébi,,Sayornis
Sayornis saya,Say's Phoebe,SAPH,Moucherolle à ventre roux,,Sayornis
Sayornis nigricans,Black Phoebe,BLPH,Moucherolle noir,,Sayornis
